PG,SG,SF,PF,C,G,F,UTIL,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Geomean Ownership,Simulated ROI
36883515,36883510,36883537,36883389,36883361,36883520,36883418,36883398,262.3,243.6587,263.6587,283.9087,293.9087,312.9087,336.6612,288.17,33.95436165,0.400380233
36883515,36883549,36883520,36883398,36883359,36883378,36883412,36883361,265.37,246.3139,265.8139,287.5639,297.8514,314.8264,337.0639,289.46,34.22426531,0.459559878
36883520,36883402,36883418,36883412,36883376,36883510,36883368,36883361,265.45,246.4606,266.7106,286.4606,296.7481,314.4606,336.7106,291.35,34.11833478,0.465033788
36883378,36883353,36883418,36883412,36883376,36883520,36883389,36883357,264.21,247.6912,266.1912,286.4412,296.1912,313.4412,333.9487,276.52,28.76206915,0.430113227
36883378,36883549,36883506,36883398,36883412,36883520,36883368,36883357,266.15,249.4078,267.4703,287.7203,298.9703,316.7203,334.2203,304.9,36.23719538,0.481977331
36883378,36883549,36883543,36883418,36883357,36883520,36883389,36883376,265.21,248.5197,267.6447,287.7697,298.5197,316.2697,335.5222,309.77,36.81930839,0.450913227
36883515,36883402,36883418,36883389,36883361,36883378,36883368,36883376,263.64,244.9848,264.9848,284.4848,293.9848,312.4848,335.7423,279.58,33.96251884,0.425356682
36883335,36883402,36883418,36883389,36883376,36883520,36883368,36883378,266.89,248.896,268.896,289.146,299.896,317.646,338.1485,301.43,34.72452207,0.48499096
36883422,36883363,36883418,36883389,36883361,36883520,36883412,36883376,262.42,244.0528,262.8028,282.8028,293.8028,314.3028,335.8078,277.19,32.33766398,0.409659731
36883378,36883549,36883520,36883389,36883376,36883335,36883418,36883361,265.96,247.8194,268.1319,289.1319,299.4194,317.3944,335.3819,298.28,34.49903064,0.467536268
36883520,36883429,36883418,36883389,36883361,36883422,36883398,36883376,264.21,245.147,264.647,284.897,294.647,313.397,334.3995,275.52,30.54260619,0.426487107
36883515,36883510,36883520,36883412,36883376,36883378,36883389,36883361,262.63,244.1906,263.4406,283.9406,294.9406,312.9406,334.4631,277.38,32.59292626,0.407662869
36883422,36883402,36883418,36883389,36883376,36883520,36883368,36883398,266.13,247.4525,267.2025,286.2025,297.4525,315.9525,336.455,302.88,36.05327223,0.470073537
36883520,36883510,36883506,36883418,36883376,36883515,36883398,36883361,266.15,247.0201,267.0201,286.5201,296.0201,315.2701,338.2876,298.46,35.6633606,0.470678498
36883378,36883549,36883520,36883418,36883412,36883515,36883349,36883376,266.04,248.5143,267.8268,288.0768,299.3268,317.0768,339.5793,296.02,34.42661342,0.468049927
36883520,36883402,36883543,36883418,36883389,36883378,36883368,36883359,267.05,249.0276,269.8401,290.3401,300.5901,318.3401,338.3426,312.47,37.01590809,0.484555545
36883378,36883510,36883520,36883368,36883398,36883335,36883412,36883376,262.68,244.2975,263.7975,284.0475,294.085,312.2975,331.3,281.2,32.25106151,0.41219147
36883520,36883429,36883543,36883389,36883361,36883378,36883368,36883359,262.49,243.9449,263.9449,284.6949,295.4824,311.9449,329.9524,276.24,30.59758641,0.409125601
36883429,36883402,36883520,36883398,36883376,36883378,36883418,36883361,266.74,248.6898,267.9398,287.1898,296.9398,314.1898,334.1973,290.81,32.09231929,0.478040004
36883335,36883429,36883520,36883389,36883376,36883378,36883418,36883361,264.97,247.0905,266.8405,286.5905,296.878,314.0905,333.8505,274.07,29.41695267,0.449852378
36883378,36883341,36883543,36883418,36883359,36883520,36883389,36883361,264.13,246.1293,266.6293,287.1918,297.8793,315.1293,336.1393,285.27,31.42440296,0.436226258
36883520,36883429,36883418,36883389,36883359,36883378,36883398,36883376,267.33,249.3422,269.2172,288.5922,298.3797,315.8422,337.1047,291.15,32.15611249,0.493667379
36883378,36883510,36883537,36883506,36883376,36883520,36883368,36883359,266.23,248.179,267.929,289.179,298.7165,318.179,339.684,293.02,34.64685219,0.476452437
36883378,36883402,36883349,36883385,36883359,36883520,36883368,36883376,260.91,242.1889,261.3139,281.6889,292.4389,309.9514,328.9439,263.25,25.1883931,0.38145226
